Spine color,Height,Pages,Genre/sub,Feeling,Author (multiple only)
Green 1,7.12,224,Outdoor/instruction,Can do,
White,8.5,154,Cycling/instruction,Can do,
Red 2,5,252,French/fiction,Nostalgic,
White,8.5,154,Comic/alt,Nostalgic,
Yellow 2,8.5,136,Comic/alt,Interested,
Green 1,8.5,128,Comic/alt,Nostalgic,Grillo-Maxrauch
Brown 3,8.5,128,Comic/alt,Nostalgic,Grillo-Maxrauch
Black,8.5,106,Comic/history,Read again,Rick Geary
Black,9,80,Comic/true crime,Read again,Rick Geary
Black,9,80,Comic/true crime,Read again,Rick Geary
Black,9,80,Comic/true crime,Read again,Rick Geary
Gray,9,64,Comic/true crime,Read again,Rick Geary
Black,9,80,Comic/true crime,Read again,Rick Geary
Black,9,80,Comic/true crime,Read again,Rick Geary
Black,9,80,Comic/true crime,Read again,Rick Geary
Black,9,80,Comic/true crime,Read again,Rick Geary
Black,9,80,Comic/true crime,Was cool,Rick Geary
Black,9,80,Comic/true crime,Best in series,Rick Geary
White,10.25,192,Comic/adventure,Meh,
Brown 1,10.25,172,Comic/adventure,Read again,Alan Moore
Brown 3,10.25,228,Comic/adventure,Read again,Alan Moore
Black,10,218,Comic/novel,Read again,Jason Lutes
Brown 3,10,218,Comic/novel,Sexy,Jason Lutes
Gray,10.25,96,Comic/alt,Should finish,
Brown 2,10.25,192,Comic/alt,Nost,
Green 2,9.5,528,Travel/guide,Reminiscence,
Black,8.75,212,Nonfiction ,Should read,
Green 2,8.75,398,Comic/adventure,Was cool,Rucka
Blue 2,8.75,334,Comic/adventure,Was cool,Rucka
Brown 3,8.75,366,Comic/adventure,Was cool,Rucka
Multi,8,392,Fiction/SF,Reminiscence,
Brown 2,8.25,318,History/SF,Reminiscence,
White,8,360,Nonfiction/swimming,Read again,Lynn Cox (see G)
Brown 2,8.5,566,Nonfiction/history,Should read,
Black,9.5,200,Fiction/classic,Unread and not sorry,
Purple,9.5,658,Nonfiction/bio,Should read,
Brown 1,10,190,Comic/alt,I made that,
Red,6.25,96,Travel/guide,Reminiscence ,
Red 2,11.5,62,Comic/classic,Meh,
Brown 1,12,12,Kids/biology,Meh,
Black,7.25,160,Picture/biology,Cool,
Blue 1,11,184,Picture/art history,Cool,
Gray,11,352,Picture/art history,Reminiscence,
White,11.25,156,Picture/art history,Cozy,
 White,11,256,Picture/fashion,Read again,
Red 3,12,158,History/SF,Should finish,Solnit
Red 1,10.25,104,Nonfiction/history,Should finish,
Brown 3,8.75,140,Nonfiction/adventure,Where did this come from?,
None,8.25,48,Nonfiction/essay,Guilt,
Brown 1,9,84,French/poetry,Reminiscence,
Black,7,120,Picture/art history,Reminiscence,
Green 3,9.5,56,Picture/art history,Meh,
Black ,9.25,98,Picture/art history,Read again,
Brown 2,9.25,224,Nonfiction/basketball,Cool,Free Darko
Black,9.25,224,Nonfiction/basketball,Cool,Free Darko
Brown 1,8.5,118,Art/instructional,Should finish,
Brown 3,10.75,136,Art/instructional,Should finish,
White,8,84,Art/instructional,Should read,
Red 1,8.5,176,Design/instruction,Reminiscence,Ellen Lupton ?
Red 3,9,224,Design/instruction,Should read,
Orange 2,8.75,64,Art/instruction,Some day ...,Jay Stephens
Green 1,8.75,64,Art/instruction,Some day ...,Jay Stephens
Gray,8.25,286,Design/theory,Should finish,
Green 1,8,520,Artifact,Cool,
Red 3,8.25,264,Design/theory,Meh,
White,9,256,Design/theory,Can do,
Black,9,228,Design/theory,Meh,
Black,9,384,Design/theory,Guilt,
Brown 1,9,312,Lit/theory,Interest ,
Blue 1,8.5,152,Design/theory,Reminiscence,
Gray,9,176,Design/theory,Should finish,
,,,,,
Green 2,8,282,Design/theory,Reminiscence,
Gray,9.25,380,Management/instructional,Reminiscence,
Purple 1,9.75,332,Design/instructional,Get rid of?,
Copper 2,8,320,Nonfiction/essay,Cozy,Orwell
Purple 1,8,292,Fiction/modern classic,Maybe I'd like it now,
White,8,312,Fiction/modern classic,Meh,Kundera
Black,8,314,Fiction/modern classic,Meh,Kundera
Black,9,220,Erotica,Read again,
Black,8,792,Fiction/popular,Get rid of?,Eggers
Black,8,404,Fiction/popular,Get rid of?,Eggers
Gold,8,266,Mystery,Happiness ,Chandler
Black,8,380,Mystery,Happiness ,Chandler
Orange 2,8,280,Mystery,Happiness ,Ross Macdonald
Back,8,120,Mystery,Meh,
Green 1,8,170,Mystery,Happiness ,Chandler
Blue 2,8,330,Mystery,I wonder if this is still stupid,Winspear
Green 1,8,252,Mystery,Read again,Chandler
Green 1,8,202,Mystery,Happiness,Hammett
Black,8,246,Mystery,Read again,Ross MacDonald
Black,8,252,Mystery,Weird one,Ross MacDonald
White,8.25,162,Mystery,Weird one,Simenon
Black,8.25,152,Mystery,I forgot this one,Simenon
Pink,8,298,Mystery,I forgot this one,Chandler 
Green 3,8,234,Mystery,Cozy,Chandler 
Black,8,252,Mystery,Read again,Ross MacDonald
