Spine color,Height,Pages,Genre/sub,Feeling,Author (multiple only)
Green 1,7.12,224,Outdoor/instruction,Empowered,
White,8.5,154,Cycling/instruction,Empowered,
Red 2,5,252,French/fiction,Nostalgic,
White,8.5,154,Comic/alt,Nostalgic,
Yellow 2,8.5,136,Comic/alt,Curious,
Green 1,8.5,128,Comic/alt,Nostalgic,Grillo-Maxrauch
Brown 3,8.5,128,Comic/alt,Nostalgic,Grillo-Maxrauch
Black,8.5,106,Comic/history,Excited,Rick Geary
Black,9,80,Comic/true crime,Excited,Rick Geary
Black,9,80,Comic/true crime,Excited,Rick Geary
Black,9,80,Comic/true crime,Excited,Rick Geary
Gray,9,64,Comic/true crime,Excited,Rick Geary
Black,9,80,Comic/true crime,Excited,Rick Geary
Black,9,80,Comic/true crime,Excited,Rick Geary
Black,9,80,Comic/true crime,Excited,Rick Geary
Black,9,80,Comic/true crime,Excited,Rick Geary
Black,9,80,Comic/true crime,Affectionateate,Rick Geary
Black,9,80,Comic/true crime,Affectionateate,Rick Geary
White,10.25,192,Comic/adventure,Ambivalent,
Brown 1,10.25,172,Comic/adventure,Excited,Alan Moore
Brown 3,10.25,228,Comic/adventure,Excited,Alan Moore
Black,10,218,Comic/novel,Excited,Jason Lutes
Brown 3,10,218,Comic/novel,Sexy,Jason Lutes
Gray,10.25,96,Comic/alt,Guilty,
Brown 2,10.25,192,Comic/alt,Nostalgic,
Green 2,9.5,528,Travel/guide,Wistful,
Black,8.75,212,Nonfiction ,Guilty,
Green 2,8.75,398,Comic/adventure,Affectionateate,Rucka
Blue 2,8.75,334,Comic/adventure,Affectionateate,Rucka
Brown 3,8.75,366,Comic/adventure,Affectionateate,Rucka
Multi,8,392,Fiction/SF,Affectionateate,
Brown 2,8.25,318,History/SF,Wistful,
White,8,360,Nonfiction/swimming,Excited,Lynn Cox (see G)
Brown 2,8.5,566,Nonfiction/history,Guilty,
Black,9.5,200,Fiction/classic,Unread and not sorry,
Purple,9.5,658,Nonfiction/bio,Guilty,
Brown 1,10,190,Comic/alt,Proud,
Red,6.25,96,Travel/guide,Wistful ,
Red 2,11.5,62,Comic/classic,Ambivalent,
Brown 1,12,12,Kids/biology,Ambivalent,
Black,7.25,160,Picture/biology,Excited,
Blue 1,11,184,Picture/art history,Excited,
Gray,11,352,Picture/art history,Wistful,
White,11.25,156,Picture/art history,Cozy,
 White,11,256,Picture/fashion,Excited,
Red 3,12,158,History/SF,Excited,Solnit
Red 1,10.25,104,Nonfiction/history,Excited,
Brown 3,8.75,140,Nonfiction/adventure,Ambivalent,
None,8.25,48,Nonfiction/essay,Guilty,
Brown 1,9,84,French/poetry,Wistful,
Black,7,120,Picture/art history,Wistful,
Green 3,9.5,56,Picture/art history,Ambivalent,
Black ,9.25,98,Picture/art history,Excited,
Brown 2,9.25,224,Nonfiction/basketball,Excited,Free Darko
Black,9.25,224,Nonfiction/basketball,Excited,Free Darko
Brown 1,8.5,118,Art/instructional,Excited,
Brown 3,10.75,136,Art/instructional,Excited,
White,8,84,Art/instructional,Guilty,
Red 1,8.5,176,Design/instruction,Wistful,Ellen Lupton ?
Red 3,9,224,Design/instruction,Guilty,
Orange 2,8.75,64,Art/instruction,Wistful,Jay Stephens
Green 1,8.75,64,Art/instruction,Wistful,Jay Stephens
Gray,8.25,286,Design/theory,Excited,
Green 1,8,520,Artifact,Excited,
Red 3,8.25,264,Design/theory,Ambivalent,
White,9,256,Design/theory,Can do,
Black,9,228,Design/theory,Ambivalent,
Black,9,384,Design/theory,Guilty,
Brown 1,9,312,Lit/theory,Interest ,
Blue 1,8.5,152,Design/theory,Wistful,
Gray,9,176,Design/theory,Excited,
,,,,,
Green 2,8,282,Design/theory,Wistful,
Gray,9.25,380,Management/instructional,Wistful,
Purple 1,9.75,332,Design/instructional,Ambivalent,
Copper 2,8,320,Nonfiction/essay,Cozy,Orwell
Purple 1,8,292,Fiction/modern classic,Ambivalent,
White,8,312,Fiction/modern classic,Ambivalent,Kundera
Black,8,314,Fiction/modern classic,Ambivalent,Kundera
Black,9,220,Erotica,Excited,
Black,8,792,Fiction/popular,Ambivalent,Eggers
Black,8,404,Fiction/popular,Ambivalent,Eggers
Gold,8,266,Mystery,Affectionate ,Chandler
Black,8,380,Mystery,Affectionate ,Chandler
Orange 2,8,280,Mystery,Affectionate ,Ross Macdonald
Back,8,120,Mystery,Ambivalent,
Green 1,8,170,Mystery,Affectionate ,Chandler
Blue 2,8,330,Mystery,Curious,Winspear
Green 1,8,252,Mystery,Excited,Chandler
Green 1,8,202,Mystery,Affectionate,Hammett
Black,8,246,Mystery,Excited,Ross MacDonald
Black,8,252,Mystery,Affectionate,Ross MacDonald
White,8.25,162,Mystery,Affectionate,Simenon
Black,8.25,152,Mystery,Affectionate,Simenon
Pink,8,298,Mystery,Affectionate,Chandler 
Green 3,8,234,Mystery,Cozy,Chandler 
Black,8,252,Mystery,Excited,Ross MacDonald
Purple 1,8,268,Mystery,Affectionate,Chandler
Orange 2,7.75,384,Mystery,Affectionate,Fforde
,,,,,
Purple,7,384,Mystery,Curious,Sayers
Purple 1,7,360,Mystery,Affectionate,Sayers
Yellow 1,7,406,Mystery,Hemophilia,Sayers
Teal,7,192,Mystery,Cozy,Simenon
Brown 2,7,192,Mystery,Cozy,Simenon
Green 1,7,128,Mystery,Affectionate,Simenon
Green 2,7,148,Mystery,Excited,Simenon
Green 2,7,144,Mystery,Affectionate,Simenon
Green 2,7,128,Mystery,Excited,Simenon
Green 2,7,144,Mystery,Ambivalent,Simenon
Black,7,154,Mystery,Affectionate,Simenon
White,7,190,Mystery,,Simenon
Green 2,7,164,Mystery,Affectionate,Sayers
Yellow 1,7,442,Mystery,Ambivalent,Sayers
Orange 1,7,358,Mystery,Affectionate,Sayers
Black,8,408,Mystery,Affectionate,Sayers
White,8.5,174,Mystery,Affectionate,Simenon
,,,,,
Blue 2,7,192,Mystery,Curious,Sayers
Blue 3,7,154,Mystery,Ambivalent,Simenon
Orange 2,7,198,Mystery,Curious,Ross MacDonald
Black,6.5,170,Mystery,Affectionate,Simenon
Black,6.5,170,Mystery,Affectionate,Simenon
Blue 2,6.75,264,Mystery,Affectionate,Ross MacDonald
Black,6.75,184,Mystery,Affectionate,Ross MacDonald
Orange 2,7,188,Mystery,Affectionate,Ross MacDonald
Black,6.75,218,Mystery,Guilty,Ross MacDonald
Black,6.75,248,Mystery,Guilty,Ross MacDonald
Blue 1,7,218,Mystery,Affectionate,Ross MacDonald
Green 1,7,248,Mystery,Ambivalent,Sayers
Purple 3,7,192,Mystery,Affectionate,Sayers
Yellow 1,7,270,Mystery,Affectionate,Sayers
Brown 1,7,280,Mystery,Affectionate,Sayers
White,7,216,Mystery,Wistful,Sayers
White,7,176,Mystery,Excited,Simenon 
Gold,8,217,Mystery ,Excited,Hammett
Black,8,276,Mystery ,Excited,MacDonald
Black,8,246,Mystery ,Excited,MacDonald
Blue 2,8,238,Mystery ,Curious,Dorothy Sayers 
Orange 1,8,254,Mystery ,Curious,Dorothy Sayers 
Pink,8,216,Mystery ,Curious,Dorothy Sayers 
Black,8,184,Mystery ,Affectionate,Simenon
Black,8,172,Mystery ,Affectionate,Simenon
Black,8,184,Mystery ,Affectionate,Simenon
Black,8,164,Mystery ,Affectionate,Simenon
Black,8,188,Mystery ,Affectionate,Simenon
Black,8,166,Mystery ,Affectionate,Simenon
Black,8,168,Mystery ,Affectionate,Simenon
Black,8,186,Mystery ,Affectionate,Simenon
Black,8,172,Mystery ,Affectionate,Simenon
Black,8,264,Nonfiction/soccer,Ambivalent,Simenon
Black,8,204,Mystery,Guilty,Simenon
Red 3,8,244,Mystery,Affectionate,Ross MacDonald
Orange 1,8,310,Mystery,Ambivalent,Winspear
Blue 1,8,298,Mystery,Affectionate,Simenon 
Black,8.5,286,Polemic,Wistful,
Yellow 1,8.25,352,Polemic,Ambivalent,
Red 2,7.25,214,Philosophy ,Wistful,
Green 1,7.25,352,Travel/essay,Affectionate,
Brown 1,8.25,324,Nonfiction/running ,Affectionate,
Yellow 3,8.5,256,Nonfiction/cycling,Excited,
Silver,8,298,Nonfiction/tennis,Affectionate,
Blue 2,8,338,Travel/essay,Affectionate,
Brown 1,9,278,Nonfiction/essay,This book was stupid,
White,8.5,278,Nonfiction/essay,Curious,
,,,,,
Green 1,7.25,312,Nonfiction/essay,Wistful,
Red 3,8,238,Nonfiction/history,Affectionate,
Brown 2,8,262,Nonfiction/soccer,Ambivalent,
Silver,8.25,866,Nonfiction/essay,Wistful,
Silver,7.5,428,Nonfiction/essay,Affectionate,
Yellow 2,8.5,178,Nonfiction/autobiography ,Wistful,
Multi,8.5,320,Design/instructional,Ambivalent,
Gray,8.5,302,Fiction/contemporary ,Affectionate,Hrabal
Black,8,88,Fiction/contemporary ,Curious,
Black,9.25,296,Fiction/contemporary ,Wistful,
Red 2,9.25,278,Fiction/contemporary ,Guilty,
Purple 3,9.5,232,Fiction/contemporary ,Affectionate,Joyce Johnson
Red 3,9.25,550,Fiction/contemporary ,Guilty,
Blue 2,8.25,402,Nonfiction/essay,Introspective,
Green 3,9,246,Nonfiction/history,Affectionate,
Black,9.25,288,Nonfiction/autobiography ,Affectionate,
Red 2,9.5,910,Literature/reference,Guilty more,
Brown 3,8.25,218,Fiction/modern,Minimalist,Hesse
Red 2,7.75,214,Drama/classic,Ambivalent,
White ,7.75,132,Nonfiction/essay,Excited,Simenon
Blue 2,8.25,286,Mystery/suspense,Ambivalent,
Black,8,208,Nonfiction/essay,Affectionate,
Yellow 1,8.5,210,Nonfiction/essay,Introspective,Natalia Ginzburg
Green 1,7.75,752,Fiction/modern,Affectionate,
Black ,8,406,Fiction/modern,Minimalist,
Black,8.5,346,Fiction/modern,Affectionate,
White,8,438,Fiction/modern,Affectionate,
Black,8,102,Fiction/modern,Introspective ,Hrabal
Gray,8,246,Fiction/modern,Affectionate,Hrabal
White,8.5,158,Poetry/classic,Wistful,
Gray,7.25,314,Philosophy,Excited,
Black,8.75,178,Business/theory,Excited,
,,,,,
Blue 2,7.5,128,Fiction/youth,Affectionate,Louis Sachar
Blue 2,7.5,168,Fiction/youth,Affectionate,Louis Sachar
Green 2,7.5,184,Fiction/youth,Affectionate,Louis Sachar
White,8.5,276,Nonfiction/judo,Guilty,
White,8,190,Literary theory,Introspective,Foucault
Blue 1,8,352,Nonfiction/history,Affectionate,
Brown 2,8.75,260,Nonfiction/history,Guilty,
Brown 2,9,362,Literary reference,Wistful,
Multi,9,292,Nonfiction/history,Excited,
Black,9.25,384,Nonfiction/general sports,Affectionate,
Orange 2,9.5,360,Nonfiction/basketball,Ambivalent,
Yellow 2,9.25,332,Nonfiction/swimming,Affectionate,
Brown 3,8.5,206,Fiction/ghost story,Remniscence,
Black,9.5,238,Nonfiction/autobiography ,Affectionate ,
Gray,8,430,Nonfiction/essay,Guilty,
Multi,7.5,288,Polemic,Cringe-stalgia,
Black,8,286,Fiction/modern classic,Ambivalent,Kafka
White,7.75,190,Nonfiction/autobiography ,I should really read this,
Gray,8.25,280,Mystery,Affectionate,Highsmith
Green 2,8,122,Nonfiction/polemic,Nostalgic,
White,8.25,276,Nonfiction/polemic,Affectionate,
Gold,8.25,632,Fiction/contemporary ,Wistful,
Green 2,8,180,Fiction/contemporary ,Wistful,
Green 1,7.75,166,Nonfiction/autobiography ,I should really read this,
Blue 3,9.25,285,Nonfiction/swimming,Affectionate,
Brown 1,9.5,372,Book about books,Cringe-stalgia,
Purple 2,9.5,520,Literary theory,Introspective ,Benjamin
Black,10,1074,Literary theory,Introspective,Benjamin
Green ,8.25,460,Comic/novel,Affectionate,Linda Medley
Red 2,8.25,380,Comic/novel,Affectionate,Linda Medley
,,,,,
Black ,8.5,92,Nonfiction/essay,Excited,
Gray,...,232,Fiction/contemporary ,Minimalist,Dale Peck
Black,...,245,Fiction/modern,Introspection,
Multi,9.25,280,Nonfiction/essay,Affectionate,
Black,8.5,184,Mystery,Guilty,
Black,8.25,252,Fiction/contemporary ,Guilty,
Black,8,202,Fiction/contemporary ,Minimalist,
Yellow 2,8.25,180,Fiction/contemporary ,Affectionate,
Gold,8.5,146,Nonfiction/essay,Unexplained hostility ,
Orange ,7.75,198,Fiction/modern classic,Affectionate,
Black ,8,212,Nonfiction/psychology,Wistful,
Red 2,8,326,Fiction/contemporary,Wistful,
Blue 3,8,292,Fiction/contemporary ,Excited,
Blue 3,8,342,Fiction/contemporary ,Minimalist,
Yellow 1,8.25,384,Nonfiction/philosophy,Cringe-stalgia,
Yellow 1,8.25,88,Fiction/modern classic,Minimalist,Kafka
White,8.5,190,Mystery,Affectionate,
Blue 2,8.25,368,Nonfiction/sports,Introspection ,Best of Sports Writing series
Gray,8.25,560,Fiction/modern classic ,Curious,
Brown 3,8,298,Nonfiction/autobiography ,Guilty,NYRB
Red 2,8,166,Fiction/19th cent,Minimalist,
Black,8.25,274,Nonfiction/baseball,Affectionate ,
Blue 1,8.25,394,Fiction/contemporary,Wistful,
Black,8.25,306,Nonfiction/essay,Introspective,
Orange 2,8,228,Fiction/contemporary ,Ambivalent,
Brown 1,8.25,714,Nonfiction/essay,Old,
Red 1,8.5,222,Books about books ,Introspective,
Multi,8,198,Nonfiction/essay,Excited?,
Purple 2,6.75,160,Picture/reference,Ambivalent,
Gray,7,62,Nonfiction/essay,Excited,
,,,,,
White,8,420,Nonfiction/history,Ambivalent,Bryson
White,8,272,Nonfiction/history,Ambivalent,Bryson
Gold,8,530,Nonfiction/history,Ambivalent,Arendt
Brown 1,8,198,Nonfiction/comical history,Affectionate,
Blue 2,7.75,228,Nonfiction/history ,Ambivalent,
Red 3,8.5,198,Nonfiction/autobiography ,Read tomorrow!,
White,8.25,400,Photography,Wistful,
Multi,8,302,Books about books,Ambivalent,Francine Prose
White ,8,336,Nonfiction/history,Minimalist,
Red 3,8,300,Fiction/modern ,Affectionate,
Black,8.25,344,Nonfiction/football,Affectionate,Michael Lewis
,,,,,
Gray,8,248,Design/theory,Guilty,
Red 1,8,290,Literary theory,Wistful,Foucault
Brown 1,8,160,Literary theory,Minimalist,
Green 3,8,160,Literary theory,Excited?,
Blue 3,8,134,Fiction/modern classic,Excited,Camus 
Orange 3,8.25,96,Philosophy,Affectionate,Sartre
Yellow 1,8,282,Literary Theory,Introspective,Benjamin
Yellow 1,8,352,Literary theory,Affectionate,Benjamin 
Orange ,7.75,376,Mystery/adventure,Affectionate ,Fforde
Orange,7.75,394,Mystery/adventure,Affectionate,Fforde
Orange,7.75,364,Mystery/adventure,Affectionate,Fforde
Brown 1,9,370,Nonfiction/health reference,Ambivalent,
White,8,328,Nonfiction/travel essay,Affectionate,Bryson
Red 3,7.25,120,Philosphy,Ambivalent,
Red 2,8.5,96,Nonfiction/geography,Minimalist,
Blue 1,9,220,Fiction/contemporary ,Why did I keep this?,
Black,8,110,Philosophy,Guilty,Arendt
Red 2,8,346,Nonfiction/history,Wistful,
Black,8.25,224,Polemic,Wistful,
Gray,8,240,Nonfiction/essay,Wistful,Orwell
Yellow 2,8,232,Nonfiction/essay,Affectionate,Orwell
